metric_id,task_id,name,value,timestamp
mostly7a-7e5b-4e7f-9ca5-499d004ae545,mostly00-2c94-46c2-9b50-a42b7498139b,cpu_usage,73.056,2025-01-20T06:37:00.000
mostly7a-3e70-416a-9548-5822de1b372a,mostly00-3d90-47ce-8b58-74eae8a21ffa,throughput,60.466,2025-05-09T07:12:20.000
mostlycc-ded7-43e8-b421-eaeb534097ca,mostly00-3e2b-4b69-8e7d-df5da795c16b,cpu_usage,33.499,2025-08-01T08:56:05.000
mostly2e-9148-424f-aac1-c14f30e9c5cc,mostly00-4406-441e-b6cb-af0c5356ba41,cpu_usage,37.618,2025-10-03T19:50:00.000
mostly33-f7b0-47d2-8da8-056c3d15eef7,mostly00-49ec-4d71-913e-56e8141e7992,memory_usage,64.237,2024-08-27T14:30:27.000
mostlyc3-72ae-4244-8b01-63c1cd9d2b7d,mostly00-5ba7-4d61-9cc5-a24cfc65cf5b,cpu_usage,72.827,2025-06-28T08:12:49.000
mostly60-51ef-4922-be43-c49e149818d1,mostly00-7e47-491d-a1c9-5c102f62850c,cpu_usage,72.675,2025-08-29T19:43:09.000
mostly02-eece-428b-bf7b-118e820865d6,mostly00-8ce1-4115-95fd-ddc26ff809f9,cpu_usage,69.06,2025-09-30T22:41:05.000
mostly03-8d1f-49b7-8d2b-9deb1beb3711,mostly00-b487-4d95-a148-6386f0a6144e,cpu_usage,107.19,2025-10-03T19:50:00.000
mostly3a-8c25-466a-9ff3-9849b4e1357d,mostly00-b48b-4823-8fb9-aaced145b2ee,cpu_usage,73.006,2025-01-07T22:21:37.510
mostly5c-8a50-46c1-ac18-8efbd080e66e,mostly00-be6e-4379-a155-0dcb4731e482,cpu_usage,63.249,2025-01-09T10:56:05.000
mostlya7-9a6a-4f92-8ca7-4147f6be1f72,mostly00-cf1e-4e15-ac6b-4ff7930a15e8,cpu_usage,73.68,2025-10-03T19:50:00.000
mostly6d-71ea-4d05-89a3-e80e966e1277,mostly00-e87d-44a7-91ba-aa8441c68020,gpu_utilization,0.945,2025-06-10T04:27:00.000
mostly7c-6288-41a5-8c45-782198a6416d,mostly01-0368-43d3-b0b2-b569d7623e7a,accuracy,0.0,2025-01-21T19:13:25.000
mostly54-4a53-48cc-bdfa-bc08935ddd72,mostly01-0cf3-484a-b293-5cf5822da08a,cpu_usage,118.529,2025-10-03T19:50:00.000
mostly5c-2fcd-41b5-924b-ace4307bf326,mostly01-19a3-4220-a7c9-afb7af103695,gpu_utilization,72.731,2025-06-11T14:30:20.200
mostly33-a81a-4477-bb36-75b89cdeb3e6,mostly01-1f62-4d7a-b464-32914ec3186f,cpu_usage,72.413,2025-10-03T19:50:00.000
mostly7a-16fe-4aa0-91af-923d79fdef7c,mostly01-258a-456c-bd7c-c0dcd2eb535a,cpu_usage,58.837,2025-06-15T16:01:00.000
mostly38-e074-45eb-a156-63abc1f254b8,mostly01-3e47-4fe2-b386-ae84430e4b1f,cpu_usage,64.533,2025-06-18T08:16:07.000
mostly58-d7ab-4928-89e4-69e6ec62b2c8,mostly01-5852-4de2-a230-9fef78a88546,cpu_usage,72.799,2025-02-07T08:20:00.100
mostly4a-ec4f-417b-b306-d1a8e5eeac76,mostly01-6d64-478e-9301-05b4c13f2d49,cpu_usage,308.327,2025-02-12T03:00:20.500
mostlyfd-642b-4a42-aef9-c00b8a64c1b9,mostly01-6f51-4ba3-9838-7a5c1c071108,cpu_usage,0.011,2025-10-03T19:50:00.000
mostly27-468f-453d-864a-7a50b48d73f1,mostly01-732d-4635-a8e1-61029ba04972,cpu_usage,1.021,2025-06-15T14:44:32.000
mostly84-d977-4993-bc49-d76fcfc6e625,mostly01-7a8d-4207-8e87-f0bf8ddb5495,cpu_usage,0.017,2025-06-09T18:20:05.000
mostly90-96fd-45d0-adf2-0806e5214606,mostly01-82d3-4ade-a27e-f6582299aef9,cpu_usage,314.482,2025-10-03T19:50:00.000
mostly41-9466-4472-ab5f-5241f323ca74,mostly01-8f98-405c-a47d-1c6f03ff0517,cpu_usage,238.637,2025-02-09T13:35:05.000
mostly9a-a905-4750-be1e-a9c573581a81,mostly01-98c0-4e31-a202-8e6894e2b93f,cpu_usage,63.273,2025-09-18T14:30:10.000
mostly0d-eabc-48d0-b341-facdff0ac0f1,mostly01-ab85-4eda-b3c1-ee7c49348373,cpu_usage,340.725,2025-01-16T18:31:20.000
mostlyf5-1516-4570-9b7c-709acb175a5a,mostly01-ac02-4768-bd4e-f1c2dc52363c,cpu_usage,72.44,2025-09-18T04:41:00.500
mostly0c-7c87-4b74-9d87-8f9f9cdf5a86,mostly01-bbde-491f-87c4-dde8686bb092,cpu_usage,63.453,2025-06-15T06:32:05.000
mostly0e-d857-4102-95d4-4936a1515607,mostly01-cb0e-4dd1-9964-718a56be1e08,cpu_usage,58.189,2025-05-11T12:15:37.000
mostly7f-bb42-40b2-8426-465e3e37952d,mostly01-d40a-4e2b-817b-8bc466f7f19e,cpu_usage,35.204,2025-09-17T21:02:00.000
mostly38-3870-4a14-b490-b6081dfc8352,mostly01-d7d2-4d78-8c0d-050bb758b656,cpu_usage,1.643,2025-10-03T19:50:00.000
mostly18-5521-46dd-aba4-b180cb69ca38,mostly01-d8ec-4832-bf64-5c7b48f40ad8,cpu_usage,79.272,2025-01-25T14:28:25.000
mostly63-19c1-4a0d-8feb-d845d0dfae43,mostly01-e166-4f66-9160-ba09f3751edc,cpu_usage,72.503,2024-08-08T08:27:05.000
mostly47-b29a-4b06-9af6-6c5f2577bffa,mostly01-e205-4ad5-b001-ec78114782b0,cpu_usage,42.887,2025-02-12T07:15:52.200
mostlyfd-92e8-4269-912e-cbc40b9475b1,mostly01-ec69-4f7e-b9cf-795ddfc86649,cpu_usage,42.72,2025-10-03T19:50:00.000
mostly58-88c1-42ad-afbf-c19ee8f6cf32,mostly02-1280-4b20-aac5-4382efddee0a,throughput,43.018,2024-10-02T18:13:08.000
mostly32-06d5-49e8-92f1-75ffae3b16ec,mostly02-153d-4936-a251-5d3c259655e6,cpu_usage,470.979,2025-02-05T15:03:00.000
mostly5f-9b38-4e80-b042-e325a28f5ab0,mostly02-1bb2-47a4-88ff-7329edd7b305,memory_usage,32.423,2025-08-20T21:40:05.000
mostlyb1-6426-4cd5-9ea4-5cd69371a71f,mostly02-246a-42b0-909d-e79c7e71077c,cpu_usage,75.852,2025-10-03T19:50:00.000
mostly34-fb03-43a1-9576-d4155ec17dbe,mostly02-34c3-4e37-8c2a-60cd1520493f,cpu_usage,118.081,2025-10-03T19:50:00.000
mostly64-0589-4877-9b02-52440950fd13,mostly02-36ab-4ce9-9512-8d4fb67004a5,cpu_usage,733.648,2025-02-03T08:12:00.000
mostly7b-2f5a-422a-b87f-43fdf6062541,mostly02-5c9b-48b6-b56a-c624a6ea76e6,cpu_usage,35.274,2025-02-15T07:22:05.000
mostly51-35e8-479a-baaf-0e891fb797fa,mostly02-5d41-474a-a569-d45b30669d45,cpu_usage,12.624,2025-01-03T09:40:10.000
mostlyb4-efdd-45f8-8fa3-4266ccfdba9b,mostly02-86e7-4ad6-bd62-f66d9c8355c7,cpu_usage,59.388,2025-08-04T02:41:20.000
mostlyda-6cf5-4b15-8b53-031d05d51433,mostly02-93e3-4e9a-abff-b5f837c98ddc,cpu_usage,63.449,2025-04-10T09:13:23.000
mostly49-428a-4c22-95fd-b76a19fbeb1d,mostly02-ab9b-43e6-b940-65235d945f4d,cpu_usage,0.042,2025-02-19T16:35:05.500
mostly7f-a59c-4c98-926c-bc8f38884479,mostly02-b5aa-4101-be83-9fa17f4b8b6d,cpu_usage,72.502,2025-06-20T13:00:40.000
mostly3f-2e29-4065-afa2-31e959acdd98,mostly02-b928-484f-a690-5ba2bc849a32,gpu_utilization,0.003,2025-06-10T07:20:05.000
mostly6e-0a14-490a-b795-e98680ee526e,mostly02-bb9c-458e-af65-48d390d79e80,cpu_usage,72.981,2025-09-17T09:30:05.000
mostly48-fcfc-4a81-b306-d70019d5f970,mostly02-e8d7-4f7e-a0d2-404fc1a8bb23,cpu_usage,71.986,2025-01-15T13:00:00.000
mostly37-5bca-47be-8298-17c53308fb2e,mostly03-1b2d-4e87-a826-48a342d7a027,cpu_usage,63.256,2025-10-03T19:50:00.000
mostlye8-d69c-41c2-b860-1602bb4a06cb,mostly03-2224-4ad3-8622-3fbc525d2b02,cpu_usage,36.758,2025-10-03T19:50:00.000
mostly7d-2b5f-4932-91dc-59efeb21a3f6,mostly03-3bbe-452c-a97e-314991f68b1e,memory_usage,34.255,2024-09-11T18:13:00.000
mostlye7-f76f-4fb8-b412-fc12ac322c12,mostly03-50a6-447c-881e-4bc22de576c6,cpu_usage,51.053,2025-02-16T08:56:00.000
mostly5d-ad1b-4f60-89e4-dab20edc6d2b,mostly03-5c24-4b4c-ae1c-6824246962a7,cpu_usage,33.87,2025-01-04T16:13:20.000
mostly6b-57a1-4b71-a975-d279d86dbf11,mostly03-7337-42b5-be19-8c1a47553df2,cpu_usage,63.204,2025-02-15T13:32:05.000
mostly68-98c7-4205-9e01-a934402d0baf,mostly03-917d-40a8-8a44-f20200047060,cpu_usage,63.213,2025-08-07T08:05:00.000
mostly4c-2cc0-4859-aa65-24ab713b7e05,mostly03-c427-46ff-bf62-69c30799a03b,cpu_usage,142.815,2025-09-28T08:14:05.000
mostly6e-68ef-4f5f-ae68-690a78bc7175,mostly03-cf07-499e-be71-a1f56786887b,gpu_utilization,72.715,2025-01-07T11:22:20.500
mostly5e-8233-4e23-9ff3-334b91b15f5d,mostly03-e6f3-488b-a8a0-7f5a045834e3,cpu_usage,486.65,2025-02-15T06:06:08.000
mostlydc-5b6e-4ae7-a620-81434fbaecc0,mostly03-e778-4a66-9aa9-48c11ef2c2a9,cpu_usage,63.331,2025-02-05T08:13:48.000
mostly22-403d-4f83-a859-890cd670f668,mostly03-fef0-4087-8619-ae40afd33a16,cpu_usage,37.48,2025-06-09T16:09:00.000
mostly99-032f-46ca-b0d9-c2aa8f837ef7,mostly04-2efd-49aa-bac9-122dd9fc6838,cpu_usage,45.989,2025-09-29T08:00:05.300
mostly1a-55fe-408e-943e-2e04bdd7d19b,mostly04-6b61-4529-a500-4763f4ced2d1,memory_usage,181.54,2025-06-18T10:02:42.000
mostlya4-47e7-4593-8b58-85ca0bb2c3f0,mostly04-73ec-4215-b5fd-5bb2bfe47bee,cpu_usage,95.756,2025-06-12T22:46:20.000
mostly1b-f400-48d7-831d-5a973d792fa1,mostly04-7e74-4f25-be72-3c0dee3f5041,cpu_usage,305.479,2025-06-03T18:43:03.000
mostly4c-49b2-4ded-9c31-d9b25a2b745b,mostly04-7ead-4c8d-80ac-4de8ba2313c6,cpu_usage,73.481,2025-09-05T14:02:20.000
mostly7c-f268-4baa-971c-702d5bf49c04,mostly04-846e-41da-8f77-feab4861aaad,cpu_usage,0.727,2025-02-05T13:12:39.500
mostly94-9efe-4464-9a90-f534a23d4c9d,mostly04-8c77-466f-b8e0-3c702ee7691e,cpu_usage,35.831,2025-08-07T05:03:00.000
mostly45-6355-48f7-8f6f-a985b732d46f,mostly04-90b5-4ccf-a1e1-06bfbff44a2e,cpu_usage,53.728,2025-01-01T14:30:00.000
mostly1c-a69c-4b85-9432-f8db6a174c1c,mostly04-9e56-4aa2-9f18-a8846552ede4,cpu_usage,0.24,2025-10-03T19:50:00.000
mostlyaf-313b-42b7-9836-31890063e42f,mostly04-b3ad-4cff-884d-2f76ec55db96,cpu_usage,207.632,2025-02-15T08:10:20.000
mostly46-3d4a-4d51-a8fa-fd04559b5975,mostly04-b853-433a-a017-950103cc59ec,cpu_usage,37.828,2025-06-16T08:02:05.000
